,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbperlim,ttv_flag,st_rad,st_radlim,rastr,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
0,1,1,0,41.688644,0.0,0,0.956122,0.0,0 days 03:34:36.270000,179.461,10.849,0.012,0.018,0.000249
1,1,1,0,41.6855,0.0,0,0.928,0.0,0 days 03:34:36.270000,179.461,10.849,0.012,0.018,0.000249
2,1,1,0,41.6855,0.0,0,1.08,0.0,0 days 03:34:36.270000,179.461,10.849,0.012,0.018,0.000249
3,1,0,0,2.30183,0.0,0,0.762602,0.0,0 days 12:15:23.100000,97.1795,11.727,0.046,0.019,0.001307
4,1,0,0,2.302368,0.0,0,0.710995,0.0,0 days 12:15:23.100000,97.1795,11.727,0.046,0.019,0.001307
5,1,0,0,1.1947488,0.0,0,0.57,0.0,0 days 11:43:45.260000,290.062,19.21,0.2,0.07,0.001662
6,1,0,0,6.178369,0.0,0,0.789478,0.0,0 days 12:05:29.230000,117.704,11.733,0.046,0.021,0.000478
7,1,0,0,6.17887,0.0,0,0.849432,0.0,0 days 12:05:29.230000,117.704,11.733,0.046,0.021,0.000478
8,1,0,0,1.17589,0.0,0,0.309,0.0,0 days 11:35:36.640000,166.5844,16.64,0.2,0.023,
9,1,0,0,10.6966,0.0,0,0.588,0.0,0 days 11:32:10.390000,212.291,14.346,0.183,0.023,0.000535
10,1,0,0,1.5374115,0.0,0,1.599,0.0,0 days 11:39:59.480000,666.23,12.382,0.092,0.024,0.00129
11,1,0,0,2.71189,0.0,0,3.16745,0.0,0 days 12:06:22.490000,1032.42,11.461,0.016,0.023,0.000338
12,1,2,0,18.10549,0.0,0,1.224685,0.0,0 days 12:04:29.070000,266.864,10.971,0.012,0.021,0.000405
13,1,1,0,6.7987,0.0,0,0.282,0.0,0 days 11:20:33.810000,,17.6984,0.0471,0.027,0.007283
14,1,0,0,79.9999,0.0,0,0.508,0.0,0 days 11:16:35.970000,333.46,14.258,0.149,0.023,0.000401
15,1,0,0,,,0,0.707,0.0,0 days 11:16:35.970000,333.46,14.258,0.149,0.023,0.000401
16,1,0,0,17.77297,0.0,0,1.25428,0.0,0 days 12:16:40.730000,601.265,13.327,0.08,0.019,0.000521
17,1,0,0,0.99656225,0.0,0,0.5,0.0,0 days 11:30:50.500000,335.632,16.226,0.286,0.027,0.001097
18,1,0,0,14.912381,0.0,0,0.65,0.0,0 days 11:48:22.770000,360.103,15.537,0.046,0.027,0.000289
19,1,0,0,14.9139,0.0,0,0.647,0.0,0 days 11:48:22.770000,360.103,15.537,0.046,0.027,0.000289
20,1,0,0,0.57303573,0.0,0,0.43,0.0,0 days 11:36:28.970000,1138.64,18.78,0.2,0.159,0.002148
21,1,1,0,28.1656,0.0,0,,,0 days 11:58:49.400000,159.259,16.014,1.133,0.024,0.000501
22,1,1,0,28.1696,0.0,0,0.374,0.0,0 days 11:58:49.400000,159.259,16.014,1.133,0.024,0.000501
23,1,1,0,7.90417,0.0,0,0.374,0.0,0 days 11:58:49.400000,159.259,16.014,1.133,0.024,0.000501
24,1,1,0,7.9069606,0.0,0,0.52,0.0,0 days 11:58:49.400000,159.259,16.014,1.133,0.024,0.000501
25,1,0,0,1.0829614,0.0,0,0.56,0.0,0 days 11:33:03.070000,299.406,15.657,0.355,0.024,0.000676
26,1,0,0,0.905655,0.0,0,0.576,0.0,0 days 11:32:12.690000,190.075,15.731,0.446,0.026,0.000531
27,1,0,0,0.90552205,0.0,0,0.5,0.0,0 days 11:32:12.690000,190.075,15.731,0.446,0.026,0.000531
28,1,0,0,2.7541129,0.0,0,0.55,0.0,0 days 11:51:47.150000,793.131,17.3749,0.0461,0.057,0.000761
29,1,0,0,2.75421,0.0,0,0.89,0.0,0 days 11:51:47.150000,793.131,17.3749,0.0461,0.057,0.000761
30,1,0,0,2.75391,0.0,0,0.436,0.0,0 days 11:51:47.150000,793.131,17.3749,0.0461,0.057,0.000761
31,1,0,0,50.285869,0.0,0,0.74,0.0,0 days 11:52:38.670000,829.248,11.668,0.033,0.023,0.000606
32,1,0,0,50.27762,0.0,0,10.96,0.0,0 days 11:52:38.670000,829.248,11.668,0.033,0.023,0.000606
33,1,0,0,10.50439,0.0,0,0.878,0.0,0 days 11:54:45.740000,84.947,9.996,0.005,,0.000859
34,1,0,0,1.684208,0.0,0,0.431,0.0,0 days 11:21:31.740000,325.636,16.809,0.423,0.03,0.001704
35,1,0,0,0.2122013,0.0,0,0.188,0.0,0 days 11:18:23.310000,71.8937,14.898,0.025,0.021,0.000557
36,1,0,0,0.21219899,0.0,0,0.37,0.0,0 days 11:18:23.310000,71.8937,14.898,0.025,0.021,0.000557
37,1,0,0,0.212194,0.0,0,0.26,0.0,0 days 11:18:23.310000,71.8937,14.898,0.025,0.021,0.000557
38,1,0,0,1.5778643,0.0,0,0.73,0.0,0 days 11:20:31.810000,290.883,12.605,0.126,0.023,0.003337
39,1,0,0,1.57771549,0.0,0,1.15585,0.0,0 days 11:20:31.810000,290.883,12.605,0.126,0.023,0.003337
40,1,0,0,1.57771549,0.0,0,2.56752,0.0,0 days 11:20:32.020000,307.784,9.12,0.03,0.023,0.000267
41,1,0,0,13.0113,0.0,0,0.880221,0.0,0 days 12:13:14.230000,501.257,14.003,0.149,0.027,0.000192
42,1,0,0,40.70206194,0.0,0,0.572892,0.0,0 days 11:53:40.880000,118.959,14.418,0.05,0.025,0.000321
43,1,0,0,21.204739,0.0,0,1.761722,0.0,0 days 12:08:49.110000,573.991,11.965,0.103,0.021,0.000431
44,1,0,0,2.519334,0.0,0,1.45,0.0,0 days 11:24:56.630000,476.884,12.293,0.08,0.026,0.000424
45,1,0,0,2.5194039,0.0,0,1.76,0.0,0 days 11:24:56.630000,476.884,12.293,0.08,0.026,0.000424
46,1,0,0,2.519386,0.0,0,2.03,0.0,0 days 11:24:56.630000,476.884,12.293,0.08,0.026,0.000424
47,1,0,0,2.51881781,0.0,0,1.76277,0.0,0 days 11:24:56.630000,476.884,12.293,0.08,0.026,0.000424
48,1,0,0,2.5194078,0.0,0,1.72,0.0,0 days 11:24:56.630000,476.884,12.293,0.08,0.026,0.000424
49,1,0,0,13.383629,0.0,0,0.815235,0.0,0 days 12:16:08.430000,194.195,13.002,0.08,0.021,0.000146
50,1,0,0,13.38382,0.0,0,0.65973,0.0,0 days 12:16:08.430000,194.195,13.002,0.08,0.021,0.000146
51,1,0,0,11.8951,0.0,0,0.68,0.0,0 days 12:20:43.490000,449.79,12.788,0.057,0.03,0.000203
52,1,0,0,40.1401,0.0,0,0.716,0.0,0 days 11:32:42.020000,342.596,16.153,0.297,0.03,0.000949
53,1,0,0,7.4433,0.0,0,0.724,0.0,0 days 11:14:56.820000,328.871,15.374,0.229,0.024,0.000548
54,1,0,0,2.638,0.0,0,,,0 days 12:18:20.480000,,14.872,0.195,0.029,0.005014
55,1,0,0,27.47083,0.0,0,0.749863,0.0,0 days 12:12:45.230000,273.773,13.687,0.103,0.026,0.00051
56,1,0,0,2.8268121,0.0,0,0.98,0.0,0 days 11:36:10.580000,649.666,12.137,0.057,0.024,0.000992
57,1,1,0,0.72091,0.0,0,0.94,0.0,0 days 12:18:24.510000,706.391,14.321,0.172,0.029,0.000208
58,1,0,0,4.44044,0.0,0,1.053,0.0,0 days 11:34:24.060000,243.084,11.838,0.103,0.053,0.000864
59,1,0,0,4.4416421,0.0,0,0.9,0.0,0 days 11:34:24.060000,243.084,11.838,0.103,0.053,0.000864
60,1,0,0,4.441258,0.0,0,0.833852,0.0,0 days 11:34:24.060000,243.084,11.838,0.103,0.053,0.000864
61,1,0,0,11.20381,0.0,0,1.1,0.0,0 days 11:22:36.300000,325.849,12.238,0.046,0.023,0.000404
62,1,0,0,8.006875,0.0,0,0.846,0.0,0 days 12:22:47.380000,511.581,14.285,0.172,0.023,0.000269
63,1,0,0,3.3643115,0.0,0,1.32,0.0,0 days 11:12:44.990000,147.352,8.45,0.03,0.023,0.000866
