,disposition_CONFIRMED,disposition_CANDIDATE,disposition_FALSE POSITIVE,disposition_REFUTED,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,st_rad,st_raderr1,st_radlim,ra,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,41.688644,0.956122,0.098585,0.0,53.6511231,179.461,10.849,0.012,0.018,0.000249
1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,41.6855,0.928,0.055,0.0,53.6511231,179.461,10.849,0.012,0.018,0.000249
2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,41.6855,1.08,0.06,0.0,53.6511231,179.461,10.849,0.012,0.018,0.000249
3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.30183,0.762602,0.053651,0.0,183.8462454,97.1795,11.727,0.046,0.019,0.001307
4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.302368,0.710995,0.018609,0.0,183.8462454,97.1795,11.727,0.046,0.019,0.001307
5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1947488,0.57,0.049,0.0,175.9385954,290.062,19.21,0.2,0.07,0.001662
6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.178369,0.789478,0.025322,0.0,181.3718091,117.704,11.733,0.046,0.021,0.000478
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.17887,0.849432,0.053904,0.0,181.3718091,117.704,11.733,0.046,0.021,0.000478
8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.17589,0.309,0.057,0.0,173.902664,166.5844,16.64,0.2,0.023,0.0030794000000000004
9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.6966,0.588,0.041,0.0,173.0432884,212.291,14.346,0.183,0.023,0.000535
10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5374115,1.599,0.047,0.0,174.9978388,666.23,12.382,0.092,0.024,0.00129
11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.71189,3.16745,0.174094,0.0,181.5936878,1032.42,11.461,0.016,0.023,0.000338
12,0.0,1.0,0.0,0.0,1.0,2.0,0.0,18.10549,1.224685,0.11631,0.0,181.1211419,266.864,10.971,0.012,0.021,0.000405
13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.7987,0.282,0.074,0.0,170.1408561,212.7208,17.6984,0.0471,0.027,0.007283
14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,79.9999,0.508,0.098,0.0,169.1498727,333.46,14.258,0.149,0.023,0.000401
15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.384534049999996,0.707,0.05,0.0,169.1498727,333.46,14.258,0.149,0.023,0.000401
16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.77297,1.25428,0.066004,0.0,184.1697015,601.265,13.327,0.08,0.019,0.000521
17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.99656225,0.5,0.0437,0.0,172.7104166,335.632,16.226,0.286,0.027,0.001097
18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.912381,0.65,0.0337654,0.0,177.0948891,360.103,15.537,0.046,0.027,0.000289
19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.9139,0.647,0.038,0.0,177.0948891,360.103,15.537,0.046,0.027,0.000289
20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.57303573,0.43,0.049,0.0,174.1207146,1138.64,18.78,0.2,0.159,0.002148
21,1.0,0.0,0.0,0.0,1.0,1.0,0.0,28.1656,0.5696000000000001,0.048558000000000004,0.0,179.7058532,159.259,16.014,1.133,0.024,0.000501
22,1.0,0.0,0.0,0.0,1.0,1.0,0.0,28.1696,0.374,0.089,0.0,179.7058532,159.259,16.014,1.133,0.024,0.000501
23,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.90417,0.374,0.089,0.0,179.7058532,159.259,16.014,1.133,0.024,0.000501
24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.9069606,0.52,0.0482074,0.0,179.7058532,159.259,16.014,1.133,0.024,0.000501
25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0829614,0.56,0.04958139999999999,0.0,173.2627978,299.406,15.657,0.355,0.024,0.000676
26,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.905655,0.576,0.04,0.0,173.0528796,190.075,15.731,0.446,0.026,0.000531
27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.90552205,0.5,0.0506,0.0,173.0528796,190.075,15.731,0.446,0.026,0.000531
28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.7541129,0.55,0.0488,0.0,177.9464521,793.131,17.3749,0.0461,0.057,0.000761
29,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.75421,0.89,0.063,0.0,177.9464521,793.131,17.3749,0.0461,0.057,0.000761
30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.75391,0.436,0.027,0.0,177.9464521,793.131,17.3749,0.0461,0.057,0.000761
