rastr,decstr,st_pmra,st_pmraerr1,st_pmralim,st_pmdec,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeplim,pl_rade,pl_radeerr1,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmaglim,st_dist,st_distlim,st_teff,st_tefferr1,st_tefflim,st_logg,st_loggerr1,st_logglim,st_raderr1,st_radlim,tfopwg_disp_APC,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC
26965.85,-11.304038888888888,-5.964,0.085,0.0,-0.076,0.0,2459229.63,0.001657,0,2.1713484,0.0002637,0,2.0172196,0.3195879,0,656.8860989,37.77821,0,5.8181633,1.9105465,0,22601.94858,3127.204052,9.604,0.013,0,485.735,0,10249.0,264.7,0,4.19,0.07,0,0.0725729,0,0.0,0.0,0.0,1.0,0.0,0.0
29419.31,-4.486147222222222,-4.956,0.102,0.0,-15.555,0.0,2459987.949,0.001916,0,1.9316462,5.3e-06,0,3.166,0.647,0,1286.0,1186.49,0,11.2154,2.6242,0,44464.5,4045.0,9.42344,0.006,0,295.862,0,7070.0,126.4,0,4.03,0.09,0,0.09,0,0.0,0.0,0.0,0.0,0.0,1.0
25134.47,-9.419544444444444,-1.462,0.206,0.0,-2.249,0.0,2459224.688,0.000625,0,1.8675574,3e-06,0,1.408,0.184,0,1500.0,1.7584,0,23.7529,,0,2860.61,2037.0,9.299501,0.058,0,943.109,0,8924.0,124.0,0,,,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
26534.39,-24.792983333333336,-0.939,0.041,0.0,1.64,0.0,2458493.396,0.00535,0,2.74323,0.00108,0,3.167,0.642,0,383.41,0.781988,0,,,0,1177.36,1631.0,9.3003,0.037,0,7728.17,0,5388.5,567.0,0,4.15,1.64,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
29322.77,-47.19718888888889,-4.496,0.069,0.0,9.347,0.0,2459987.047,0.003748,0,3.5730141,1.28e-05,0,3.37,1.029,0,755.0,1306.55,0,11.3113,3.24714,0,54679.3,4260.0,9.1355,0.006,0,356.437,0,9219.0,171.1,0,4.14,0.07,0,0.06,0,0.0,0.0,0.0,1.0,0.0,0.0
28969.15,-10.898477777777778,-26.932,1.935,0.0,-2.901,0.0,2459985.157,0.000581,0,4.5505945,3.1e-06,0,2.654,0.339,0,3731.0,123.723,0,7.10841,0.474611,0,414.775,1257.0,9.1309,0.006,0,100.711,0,5613.0,179.9,0,,,0,0.07,0,0.0,0.0,0.0,1.0,0.0,0.0
29846.22,-26.726477777777777,-29.1,2.6,0.0,-6.8,0.0,2459229.985,0.002159,0,2.5047918,0.0004076,0,4.3797563,0.1036554,0,2270.540219,81.38088,0,8.6950898,8.438766,0,1750.932635,1649.82207,9.2386,0.006,0,,0,6616.0,200.0,0,,,0,1.4887,0,0.0,0.0,0.0,1.0,0.0,0.0
27060.57,-3.5366416666666667,0.357,0.058,0.0,3.399,0.0,2459247.931,0.0013,0,6.9989206,1.37e-05,0,3.953,0.437,0,2840.0,0.943618,0,14.7752,0.764705,0,448.744,1282.0,8.87759,0.006,0,283.291,0,6596.0,139.2,0,3.71,0.09,0,0.13,0,0.0,0.0,0.0,0.0,0.0,1.0
26251.88,13.395219444444445,-17.9,1.1,0.0,1.3,0.0,2460258.236,0.002805,0,2.0483755,5.5e-06,0,2.767,0.861,0,483.0,41.94,0,3.19621,,0,5644.4,,8.9362,0.012,0,144.297,0,6858.5,584.6,0,4.2,1.9,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
26800.28,-23.53788888888889,-3.297,0.319,0.0,4.849,0.0,2459229.231,0.000389,0,1.9600277,2.5e-06,0,2.0065257,0.050591,0,1707.627269,49.601223,0,,,0,1063.342296,1456.424653,8.4331,0.028,0,866.147,0,8868.7,809.8,0,,,0,,0,0.0,0.0,0.0,0.0,0.0,1.0
76496.88,-54.12813611111111,12.641,0.044,0.0,-16.011,0.0,2458326.009,0.000132,0,1.4303699,8e-07,0,1.6165994,0.0192089,0,18960.71229,184.79134,0,13.1874503,0.6576402,0,1281.240825,1525.904809,12.4069,0.006,0,375.31,0,5600.0,,0,4.48851,,0,0.0438467,0,0.0,0.0,0.0,0.0,1.0,0.0
